item	subtype	subsubtype	optionality	response
Causeway	Earthfill causeway	-	"core: F
shell: F"	"1. core: clay, soil, sand, and/or rock
2. shell: rock or gravel"
Causeway	Raised embankment causeway	-	"embankment body: F
pavement: T"	"1. embankment body: earth, rock
2. pavement: asphalt or concrete"
Causeway	Elevated viaduct causeway	-	"columns: F
beams: F
deck: F"	"1. columns: concrete and/or steel
2. beams: concrete and/or steel
3. deck: concrete and/or steel"
Causeway	Jetty causeway	-	"core: F
armor units: F
deck: T"	"1. core: rock or gravel
2. armor units: concrete or rock
3. deck: concrete, asphalt, and/or wood"
Ceiling	Flat ceiling	-	-: F	plasterboard and/or gypsum board
Ceiling	Vaulted ceiling	-	"surface: F
slope: F"	"1. surface: drywall, plaster, wood, or metal
2. slope: wood, metal, and/or concrete"
Ceiling	Cathedral ceiling	-	"surface: F
slope: F
ridge: F"	"1. surface: wood, plaster, or drywall
2. slope: wood, plaster, or drywall
3. ridge: wood"
Ceiling	Tray ceiling	-	"surface: F
slope: T
steps: F"	"1. surface: drywall or plaster
2. slope: drywall or plaster
3. steps: drywall or plaster"
Ceiling	Coffered ceiling	-	"surface: F
beams: F
panels: F"	"1. surface: wood, plaster, or fiberglass
2. beams: wood, plaster, or fiberglass
3. panels: wood, plaster, or fiberglass"
Ceiling	Coved ceiling	-	"surface: F
curve: F"	"1. surface: plaster or drywall
2. curve: plaster or drywall"
Ceiling	Dome ceiling	-	"surface: F
curve: F
dome: F"	"1. surface: glass, metal, plastic, or plaster
2. curve: glass, metal, plastic, or plaster
3. dome: glass, metal, plastic, or plaster"
Ceiling	Beam ceiling	-	"surface: F
visible beams: F"	"1. surface: wood or plaster
2. visible beams: wood"
Ceiling	Drop ceiling	-	"surface: F
grid: F
tiles: F"	"1. surface: mineral fiber, fiberglass, or metal
2. grid: metal
3. tiles: mineral fiber, fiberglass, or metal"
Cello	-	-	"body: F
neck: F
strings: F
bridge: F
tailpiece: F
endpin: F
scroll: F
pegs: F
fingerboard: F"	"1. body: wood
2. neck: wood
3. strings: steel, gut, or synthetic materials
4. bridge: wood
5. tailpiece: wood or metal
6. endpin: metal or carbon fiber
7. scroll: wood
8. pegs: wood
9. fingerboard: wood"
Central processing unit	General-purpose CPU	-	"core: F
cache: F
I/O interfaces: F"	"1. core: silicon, metal
2. cache: silicon, metal
3. I/O interfaces: metal, plastic"
Central processing unit	Specialized signal-processing CPU	-	"core: F
cache: F
I/O interfaces: F
specialized computational units: F"	"1. core: silicon
2. cache: silicon
3. I/O interfaces: metals and silicon
4. specialized computational units: silicon"
Central processing unit	Embedded microcontroller	-	"core: F
memory: F
I/O interfaces: F
peripheral interfaces: F"	"1. core: silicon
2. memory: silicon, and often metal for connections
3. I/O interfaces: metals and silicon
4. peripheral interfaces: metals and silicon"
Centrepiece	-	-	"base: F
decorative elements: F"	"1. base: metal, wood, glass, ceramic, or plastic
2. decorative elements: metal, wood, glass, ceramic, plastic, stone, or fabric"
Chain	Roller chain	-	"links: F
rollers: F
pins: F"	"1. links: steel or stainless steel
2. rollers: steel or stainless steel
3. pins: steel or stainless steel"
Chain	Ball chain	-	"balls: F
connectors: F"	"1. balls: metal or plastic
2. connectors: metal or plastic"
Chain	Cable chain	-	-: F	metal
Chain	Curb chain	-	-: F	silver, gold, stainless steel, or brass
Chain	Figaro chain	-	-: F	gold or silver or stainless steel
Chain	Rope chain	-	-: F	gold, silver, stainless steel, or metal alloys
Chainsaw	Gas-powered chainsaw	-	"engine: F
cutting chain: F
guide bar: F
handles: F
fuel tank: F"	"1. engine: metal, plastics, and electronics
2. cutting chain: steel
3. guide bar: steel
4. handles: plastic and rubber
5. fuel tank: plastic or metal"
Chainsaw	Electric chainsaw	-	"electric motor: F
cutting chain: F
guide bar: F
handles: F
power cord: T
battery: T"	"1. electric motor: metals and electronics
2. cutting chain: steel
3. guide bar: steel
4. handles: plastic and/or rubber
5. power cord: copper and plastic or rubber
6. battery: lithium-ion, nickel-cadmium, or nickel-metal hydride, and plastics"
Chainsaw	Pole chainsaw	-	"electric motor or engine: F
cutting chain: F
guide bar: F
handles: F
extension shaft: F
power cord: T
battery: T"	"1. electric motor or engine: metals, electronics
2. cutting chain: metal
3. guide bar: metal
4. handles: plastic or rubber
5. extension shaft: metal and/or plastic
6. power cord: metal, rubber, and/or plastic
7. battery: metals, plastics, and chemicals"
Chair	-	-	"legs: F
seat: F
backrest: F
armrests: T
internal mechanism .: T"	"1. legs: wood, metal, and/or plastic
2. seat: wood, metal, plastic, and/or fabric
3. backrest: wood, metal, plastic, and/or fabric
4. armrests: wood, metal, and/or plastic
5. internal mechanism: metal"
Chairlift	Fixed-grip chairlift	-	"towers: F
chairs: F
overhead cable: F
drive terminal: F
return terminal: F"	"1. towers: metal
2. chairs: metal and plastic
3. overhead cable: steel
4. drive terminal: metal and electronics
5. return terminal: metal"
Chairlift	Detachable chairlift	-	"towers: F
chairs: F
overhead cable: F
drive terminal: F
return terminal: F
detachable grips: F"	"1. towers: metal
2. chairs: metal, plastic, and/or foam
3. overhead cable: steel
4. drive terminal: metal, electronics
5. return terminal: metal
6. detachable grips: metal, rubber, and/or plastic"
Champagne glass	-	-	"stem: F
base: F
bowl: F"	"1. stem: glass
2. base: glass
3. bowl: glass"
Chandelier	Candle chandelier	-	"arms: F
candle holders: F
frame: F"	"1. arms: metal or wood
2. candle holders: metal, glass, or wood
3. frame: metal or wood"
Chandelier	Crystal chandelier	-	"arms: F
frame: F
crystals: F
sockets: T"	"1. arms: metal
2. frame: metal
3. crystals: glass or crystal
4. sockets: metal, plastic, and ceramics"
Chandelier	Glass chandelier	-	"arms: F
frame: F
glass pieces: F
sockets: T"	"1. arms: metal or glass
2. frame: metal
3. glass pieces: glass
4. sockets: metal and/or plastic"
Chandelier	Drum chandelier	-	"shade: F
frame: F
sockets: F"	"1. shade: fabric or glass
2. frame: metal
3. sockets: metal and/or ceramics"
Chandelier	Bowl chandelier	-	"bowl: F
frame: F
sockets: F"	"1. bowl: glass or crystal
2. frame: metal
3. sockets: metal and electronics"
Chandelier	Tiered chandelier	-	"levels: F
frame: F
sockets: F"	"1. levels: glass, crystal, or metal
2. frame: metal
3. sockets: ceramics, metal, and plastics"
Chaps	Shotgun Chaps	-	-	-
Chaps	Batwing chaps	-	"legs: F
belt: F
fringe: T
strap: F"	"1. legs: fabric or leather
2. belt: leather or fabric
3. fringe: fabric or leather
4. strap: leather or fabric"
Chaps	Short Chaps	-	"legs: F
belt: F
yoke: F
fringe: T
strap: F"	"1. legs: leather
2. belt: leather
3. yoke: leather
4. fringe: leather
5. strap: leather"
Chaps	Wool-lined Chaps	-	"legs: F
belt: F
wool or hair covering: F
strap: F"	"1. legs: wool or synthetic fabric
2. belt: leather or synthetic materials
3. wool or hair covering: wool or synthetic fibers
4. strap: leather or synthetic materials"
Chaps	Farrier's Chaps	-	"legs: F
belt: F
apron front: F
strap: F"	"1. legs: leather
2. belt: leather and metal
3. apron front: leather
4. strap: leather and metal"
Chaps	Armitas	-	"legs: F
belt: F
closed rear: F
fringe: T"	"1. legs: leather
2. belt: leather
3. closed rear: leather
4. fringe: leather"
Charge card	-	-	-: F	plastic, metal, and embedded electronics
Chariot	War Chariot	-	"wheels: F
floor: F
draft pole: F
yoke: F
rails: F"	"1. wheels: wood and metal
2. floor: wood
3. draft pole: wood
4. yoke: wood and/or metal
5. rails: wood"
Chariot	Racing Chariot	-	"wheels: F
floor: F
draft pole: F
rails: F
seat: F"	"1. wheels: wood and metal
2. floor: wood
3. draft pole: wood
4. rails: wood and metal
5. seat: wood"
Chariot	Celtic Chariot	-	"wheels: F
floor: F
draft pole: F
rails: F
wickerwork body: F"	"1. wheels: wood and metal
2. floor: wood
3. draft pole: wood
4. rails: wood and metal
5. wickerwork body: wood"
Chariot	Scythed Chariot	-	"wheels: F
floor: F
draft pole: F
rails: F
scythes: F"	"1. wheels: wood and metal
2. floor: wood
3. draft pole: wood and/or metal
4. rails: wood and metal
5. scythes: metal"
Chariot (carriage)	-	-	"wheels: F
bed or floor: F
rails or sides: F
yoke or pole: F
harness equipment: F"	"1. wheels: wood, metal
2. bed or floor: wood
3. rails or sides: wood
4. yoke or pole: wood, metal
5. harness equipment: leather, metal"
Checkerboard	-	-	"playing surface: F
squares: F"	"1. playing surface: wood or plastic
2. squares: wood, plastic, or paint"
Cherry bomb	-	-	"shell: F
fuse: F
explosive material: F"	"1. shell: paper or plastic
2. fuse: cord
3. explosive material: flash powder"
Chess piece	Pawn	-	"base: F
head: F"	"1. base: plastic, wood, or metal
2. head: plastic, wood, or metal"
Chess piece	Knight	-	"base: F
head: F
neck: F"	"1. base: wood or stone or metal
2. head: wood or stone or metal
3. neck: wood or stone or metal"
Chess piece	Bishop	-	"base: F
head: F
mitre: F"	"1. base: wood or plastic
2. head: wood or plastic
3. mitre: wood or plastic"
Chess piece	Rook	-	"base: F
head: F
battlements: F"	"1. base: wood, stone, or plastic
2. head: wood, stone, or plastic
3. battlements: wood, stone, or plastic"
Chess piece	Queen	-	"base: F
head: F
corona: F
crown: F"	"1. base: metal or stone
2. head: metal or stone
3. corona: metal or stone
4. crown: metal or stone"
Chess piece	King	-	"base: F
head: F
cross: F
crown: F"	"1. base: wood or plastic
2. head: wood or plastic
3. cross: wood or plastic
4. crown: wood or plastic"
Chessboard	-	-	"squares: F
frame: T"	"1. squares: wood or plastic
2. frame: wood or plastic"
Chest (furniture)	Standard dresser	-	"frame: F
top: F
drawers: F"	"1. frame: wood or metal
2. top: wood, metal, or glass
3. drawers: wood, metal, or plastic"
Chest (furniture)	Chest-on-chest	-	"frame: F
top: F
drawers: F
base chest: F
upper chest: F"	"1. frame: wood
2. top: wood
3. drawers: wood
4. base chest: wood
5. upper chest: wood"
Chest (furniture)	Bachelor's chest	-	"frame: F
top: F
smaller drawers: F
slide: T"	"1. frame: wood
2. top: wood
3. smaller drawers: wood
4. slide: wood or metal"
Chest (furniture)	Tool storage chest	-	"frame: F
top: F
drawers or compartments: F
lock: F
handle: T"	"1. frame: metal or wood
2. top: metal or wood
3. drawers or compartments: metal or wood
4. lock: metal
5. handle: metal or plastic"
Chest (furniture)	Hope chest	-	"frame: F
top: F
storage compartment: F
lid: F
lock: T"	"1. frame: wood
2. top: wood
3. storage compartment: wood
4. lid: wood
5. lock: metal"
Chest (furniture)	Blanket chest	-	"frame: F
top: F
storage compartment: F
lid: F
hinges: F"	"1. frame: wood or engineered wood
2. top: wood or engineered wood
3. storage compartment: wood or engineered wood
4. lid: wood or engineered wood
5. hinges: metal"
Chest of drawers	Traditional Chest of Drawers	-	"carcass: F
drawers: F
runners: F
knobs or handles: F"	"1. carcass: wood or particleboard
2. drawers: wood or particleboard
3. runners: metal or plastic
4. knobs or handles: metal, wood, or plastic"
Chest of drawers	Lingerie chest	-	"carcass: F
drawers: F
runners: F
knobs or handles: F
narrower profile: F"	"1. carcass: wood or engineered wood
2. drawers: wood or engineered wood
3. runners: metal or plastic
4. knobs or handles: metal, wood, or plastic
5. narrower profile: wood or engineered wood"
Chest of drawers	Gentleman's chest	-	"carcass: F
drawers: F
runners: F
knobs or handles: F
cabinetry: T
wardrobe space: F"	"1. carcass: wood, fiberboard, particleboard, or plywood
2. drawers: wood, fiberboard, particleboard, or plywood
3. runners: metal or plastic
4. knobs or handles: metal, wood, or plastic
5. cabinetry: wood, fiberboard, particleboard, or plywood
6. wardrobe space: wood, fiberboard, particleboard, or plywood"
Child safety seat	Infant car seat	-	"base: F
shell: F
harness: F
harness adjuster: F
canopy: T"	"1. base: plastic and metal
2. shell: plastic and foam
3. harness: nylon
4. harness adjuster: plastic and metal
5. canopy: fabric"
Child safety seat	Convertible car seat	-	"shell: F
harness: F
harness adjuster: F
headrest: T
adjustable recline: T"	"1. shell: plastic and/or metal
2. harness: nylon or polyester
3. harness adjuster: plastic and/or metal
4. headrest: foam and/or plastic
5. adjustable recline: plastic and/or metal"
Child safety seat	Booster seat	-	"base: F
armrests: T
belt-positioning guides: F"	"1. base: plastic and/or metal
2. armrests: plastic, foam and/or fabric
3. belt-positioning guides: plastic or metal"
Chiller	-	-	"compressor: F
condenser: F
expansion valve: F
evaporator: F"	"1. compressor: metal, electronics
2. condenser: metal, copper or aluminum
3. expansion valve: metal, brass or stainless steel
4. evaporator: metal, copper or aluminum"
Chime (bell instrument)	-	-	"suspension loop: F
striker: F
resonator: F"	"1. suspension loop: metal or nylon
2. striker: metal or wood
3. resonator: metal, wood, or ceramic"
Chimney	-	-	"flue: F
smoke chamber: T
firebox: F
damper: T
cleanout door: T"	"1. flue: metal, ceramic, or clay
2. smoke chamber: metal or masonry
3. firebox: metal or masonry
4. damper: metal
5. cleanout door: metal"
China cabinet	Traditional china cabinet	-	"frame: F
doors: F
shelves: F
glass panels: F
legs: F
back panel: F
drawers: T
crown: T"	"1. frame: wood
2. doors: wood and/or glass
3. shelves: wood or glass
4. glass panels: glass
5. legs: wood
6. back panel: wood
7. drawers: wood
8. crown: wood"
China cabinet	Hutch china cabinet	-	"frame: F
hutch: F
base: F
legs: F"	"1. frame: wood or metal
2. hutch: glass and wood or metal
3. base: wood or metal
4. legs: wood or metal"
China cabinet	Glass-Fronted Display China Cabinet	-	"frame: F
doors: F
shelves: F
glass panels: F
back panel: F
lights: T"	"1. frame: wood or metal
2. doors: wood, metal, and/or glass
3. shelves: wood, glass, or metal
4. glass panels: glass
5. back panel: wood or fiberboard
6. lights: electronics and metal"
China cabinet	Buffet china cabinet	-	"frame: F
shelves: F
glass panels: F
back panel: F
drawers: F
countertop: F
base cupboard: F"	"1. frame: wood
2. shelves: wood or glass
3. glass panels: glass
4. back panel: wood
5. drawers: wood
6. countertop: wood
7. base cupboard: wood"
China cabinet	Corner china cabinet	-	"frame: F
doors: F
shelves: F
glass panels: F
back panel: F
angled sides: F"	"1. frame: wood
2. doors: wood and glass
3. shelves: wood or glass
4. glass panels: glass
5. back panel: wood
6. angled sides: wood"
China cabinet	Breakfront china cabinet	-	"frame: F
doors: F
shelves: F
glass panels: F
back panel: F
protruding central section: F
side sections: F"	"1. frame: wood
2. doors: wood and/or glass
3. shelves: wood or glass
4. glass panels: glass
5. back panel: wood
6. protruding central section: wood
7. side sections: wood"
Chisel	-	-	"handle: F
blade: F
tang: F"	"1. handle: wood or plastic
2. blade: steel
3. tang: steel"
Choker	Closed choker necklace	-	-: F	metal or textile
Choker	Open-ended Choker Necklace	-	"band: F
clasp: F"	"1. band: metal, leather, or fabric
2. clasp: metal"
Choker	Pendant choker	-	"band: F
pendant: F"	"1. band: leather, velvet, metal, or plastic
2. pendant: metal, glass, gemstone, or plastic"
Choker	Tattoo choker	-	-: F	stretchy plastic or nylon
Choker	Layered choker	-	-: F	lace, fabric, leather, metal, and/or plastic
Christmas stocking	-	-	"body: F
hanging loop: F"	"1. body: fabric
2. hanging loop: fabric"
Chronometer watch	Mechanical chronometer watch	-	"case: F
crystal: F
dial: F
hands: F
crown: F
movement: F
balance wheel: F
escapement: F
hairspring: F"	"1. case: stainless steel, titanium, gold, and/or plastics
2. crystal: mineral glass, sapphire crystal, or acrylic glass
3. dial: metal or plastic
4. hands: metal
5. crown: metal
6. movement: metals and electronics
7. balance wheel: metal or alloys
8. escapement: metals and synthetic ruby
9. hairspring: metal alloy"
Chronometer watch	Quartz chronometer-certified watch	-	"case: F
crystal: F
dial: F
hands: F
crown: F
battery: F
electronic circuit: F
quartz crystal: F"	"1. case: stainless steel or titanium
2. crystal: glass or sapphire crystal
3. dial: metal or plastic
4. hands: metal
5. crown: metal
6. battery: lithium metal or alkaline
7. electronic circuit: electronics
8. quartz crystal: quartz crystal"
Chronometer watch	Solar-powered chronometer watch	-	"case: F
crystal: F
dial: F
hands: F
crown: F
solar cell: F
rechargeable battery: F
electronic circuit: F
quartz crystal: F"	"1. case: stainless steel or plastic
2. crystal: sapphire crystal or mineral glass
3. dial: metal or plastic
4. hands: metal
5. crown: stainless steel or plastic
6. solar cell: silicon
7. rechargeable battery: lithium-ion and/or nickel-metal hydride
8. electronic circuit: electronics
9. quartz crystal: quartz"
Church (building)	Basilica	-	"nave: F
aisles: F
altar: F
apse: F
transept: T
dome: T"	"1. nave: stone and/or brick
2. aisles: stone and/or brick
3. altar: stone and/or wood
4. apse: stone and/or brick
5. transept: stone and/or brick
6. dome: stone, brick, concrete, and/or metal"
Church (building)	Cathedral	-	"nave: F
choir: F
sanctuary: F
transept: F
altar: F
crypt: T
tower: T
dome: T"	"1. nave: stone and/or brick
2. choir: stone and/or brick
3. sanctuary: stone and/or brick
4. transept: stone and/or brick
5. altar: marble, wood, and/or stone
6. crypt: stone and/or brick
7. tower: stone and/or brick
8. dome: stone, brick, and/or concrete"
Church (building)	Chapel	-	"nave: F
altar: F"	"1. nave: stone, brick, wood, and/or concrete
2. altar: stone, wood, or metal"
Church (building)	Parish church	-	"nave: F
altar: F
bell tower: T
sacristy: F"	"1. nave: stone, brick, and/or wood
2. altar: stone, wood, and/or marble
3. bell tower: stone, brick, and/or wood
4. sacristy: stone, brick, and/or wood"
Church (building)	Monastery church	-	"nave: F
altar: F
cloister: F
cells: T
refectory: T
chapter house: T"	"1. nave: stone and/or brick
2. altar: marble or wood
3. cloister: stone
4. cells: stone and/or brick
5. refectory: stone and/or brick
6. chapter house: stone and/or brick"
Church (building)	Hall church	-	"nave: F
altar: F
aisles: F"	"1. nave: stone or brick
2. altar: stone, wood, or metal
3. aisles: stone or brick"
Church bell	-	-	"headstock: F
clapper: F
sound bow: F
lip: F
crown: F"	"1. headstock: metal and/or wood
2. clapper: metal
3. sound bow: metal
4. lip: metal
5. crown: metal"
Château	Medieval Château	-	"walls: F
roof: F
keep: F
moat: F
gatehouse: F
drawbridge: F"	"1. walls: stone or brick
2. roof: tiles or slate
3. keep: stone
4. moat: water
5. gatehouse: stone or brick
6. drawbridge: wood and metal"
Château	Renaissance Château	-	"walls: F
roof: F
tower: F
moat: T
gardens: F
gates: F
courtyard: F"	"1. walls: stone and/or brick
2. roof: slate or tile
3. tower: stone and/or brick
4. moat: water and/or earth
5. gardens: plants, soil
6. gates: wood or metal
7. courtyard: stone, gravel, or brick"
Château	Classical-style Château	-	"walls: F
roof: F
formal gardens: F
grand staircase: F
ornate facade: F"	"1. walls: stone and/or brick
2. roof: tile or slate
3. formal gardens: soil, plants
4. grand staircase: wood, stone, and/or metal
5. ornate facade: stone, brick, and/or stucco"
Château	Neoclassical Château	-	"walls: F
roof: F
columns: F
pilasters: F
formal gardens: F
grand staircase: F"	"1. walls: stone or brick
2. roof: tile or slate
3. columns: stone or marble
4. pilasters: stone or marble
5. formal gardens: plants, soil, and stone
6. grand staircase: stone or wood"
Cigar	Parejo	-	"filler: F
binder: F
wrapper: F"	"1. filler: tobacco
2. binder: tobacco
3. wrapper: tobacco"
Cigar	Figurado	Torpedo cigar	"filler: F
binder: F
wrapper: F
pointed head: F"	"1. filler: tobacco
2. binder: tobacco
3. wrapper: tobacco leaf
4. pointed head: metal"
Cigar	Figurado	Pyramid	"filler: F
binder: F
wrapper: F
tapered head: F"	"1. filler: tobacco
2. binder: tobacco
3. wrapper: tobacco leaf
4. tapered head: tobacco leaf"
Cigar	Figurado	Perfecto Cigar	"filler: F
binder: F
wrapper: F
closed foot: F
rounded head: F"	"1. filler: tobacco
2. binder: tobacco
3. wrapper: tobacco leaf
4. closed foot: tobacco leaf
5. rounded head: tobacco leaf"
Cigar	Figurado	Presidente	"filler: F
binder: F
wrapper: F"	"1. filler: tobacco
2. binder: tobacco
3. wrapper: tobacco leaf"
Cigar	Figurado	Culebra cigars	"three intertwined Parejos: F
filler: F
binder: F
wrapper: F"	"1. three intertwined Parejos: tobacco leaves
2. filler: tobacco
3. binder: tobacco leaf
4. wrapper: tobacco leaf"
Cigar	Figurado	Chisel Cigar	"filler: F
binder: F
wrapper: F
flat: F
tapered head: F"	"1. filler: tobacco
2. binder: tobacco
3. wrapper: tobacco leaves
4. flat: metal
5. tapered head: wood or plastic"
Cigar	Capa	-	-: F	tobacco leaf
Cigar	Tripa	-	-: F	tobacco leaf
Cigar	Capote binder leaf	-	-: F	tobacco leaf
Cigar box	-	-	"lid: F
body: F
hinge: F"	"1. lid: wood
2. body: wood
3. hinge: metal"
Cigarette	-	-	"filter: T
rolled paper: F
tobacco: F"	"1. filter: cellulose acetate or paper
2. rolled paper: paper
3. tobacco: dried tobacco leaves"
Circuit breaker	-	-	"frame: F
trip unit: F
contacts: F
terminals: F"	"1. frame: plastic or metal
2. trip unit: electronics and metal
3. contacts: metal
4. terminals: metal"
Clamp (tool)	C-clamp	-	"frame: F
screw: F
handle: F
swivel pad: F"	"1. frame: cast iron or steel
2. screw: steel
3. handle: steel or plastic
4. swivel pad: steel"
Clamp (tool)	Bar clamp	-	"frame: F
bar: F
handle: F
jaw: F
catch: F"	"1. frame: metal
2. bar: metal
3. handle: wood or plastic or metal
4. jaw: metal and/or plastic
5. catch: metal"
Clamp (tool)	Spring clamp	-	"frame: F
handles: F
springs: F
jaws: F"	"1. frame: metal or plastic
2. handles: plastic or rubber
3. springs: metal
4. jaws: metal and/or plastic"
Clamp (tool)	Bench clamp	-	"base: F
spindle: F
handle: F
jaws: F
anvil: F"	"1. base: metal or plastic
2. spindle: metal
3. handle: metal or plastic
4. jaws: metal
5. anvil: metal"
Clamp (tool)	Strap clamp	-	"strap: F
spindle: F
handle: F
jaws: F"	"1. strap: nylon, polyester, or cotton
2. spindle: metal
3. handle: metal or plastic
4. jaws: metal"
Clamp (tool)	Pipe clamp	-	"frame: F
screw: F
handle: F
jaws: F
clamp head: F"	"1. frame: metal
2. screw: metal
3. handle: metal or plastic
4. jaws: metal with a rubber or plastic coating
5. clamp head: metal"
Clapper (musical instrument)	-	-	"board: F
handle: F"	"1. board: wood
2. handle: wood"
Clarinet	-	-	"mouthpiece: F
reed: F
ligature: F
barrel: F
upper joint: F
lower joint: F
bell: F"	"1. mouthpiece: hard rubber, plastic, or ebonite
2. reed: bamboo
3. ligature: metal or fabric
4. barrel: wood or plastic
5. upper joint: wood, plastic, or hard rubber
6. lower joint: wood, plastic, or hard rubber
7. bell: wood or plastic"
Claw hammer	-	-	"handle: F
head: F"	"1. handle: wood or fiberglass or metal
2. head: metal
3. claw: metal"
Cleat (shoe)	Soccer cleat	-	"upper: F
sole: F
insole: F
outsole: F
studs: F"	"1. upper: leather or synthetic materials
2. sole: rubber or synthetic materials
3. insole: foam or textile
4. outsole: rubber or synthetic materials
5. studs: metal, plastic, or rubber"
Cleat (shoe)	Baseball cleat	-	"upper: F
sole: F
insole: F
outsole: F
toe cap: F
studs: F"	"1. upper: leather or synthetic materials
2. sole: rubber or synthetic materials
3. insole: foam or fabric
4. outsole: rubber or synthetic materials
5. toe cap: leather, plastic, or rubber
6. studs: metal or plastic"
Cleat (shoe)	Football cleat	-	"upper: F
sole: F
insole: F
outsole: F
studs or spikes: F
ankle support: T"	"1. upper: leather or synthetic materials
2. sole: rubber or synthetic materials
3. insole: foam or textiles
4. outsole: rubber or synthetic materials
5. studs or spikes: metal or plastic
6. ankle support: textiles, foam, and/or leather"
Cleat (shoe)	Track cleat	-	"upper: F
sole: F
insole: F
outsole: F
spikes: F
spike plate: F"	"1. upper: leather or synthetic fibers
2. sole: rubber or synthetic material
3. insole: fabric and foam
4. outsole: rubber or synthetic material
5. spikes: metal
6. spike plate: plastic or metal"
Cleaver	-	-	"handle: F
blade: F
blade edge: F"	"1. handle: wood or plastic
2. blade: stainless steel or carbon steel
3. blade edge: stainless steel or carbon steel"
Clicker	-	-	"body: F
actuator button: F
internal mechanism: F"	"1. body: plastic
2. actuator button: plastic
3. internal mechanism: metal and plastic"
Cliff dwelling	Cliffside dwelling	-	"walls: F
roof: F
floor: F
hearth: F
cliff face: F
kiva: T"	"1. walls: stone or wood
2. roof: wood or asphalt shingles
3. floor: wood or stone
4. hearth: brick or stone
5. cliff face: existing rock
6. kiva: stone or adobe"
Cliff dwelling	Ancestral Puebloan cliff dwelling	-	"multiple units of connected rooms: F
walls: F
roofs: F
floors: F
kivas: T
plazas: F"	"1. multiple units of connected rooms: adobe, stone
2. walls: adobe, stone
3. roofs: wood, adobe, stone
4. floors: earth, stone, wood
5. kivas: stone, adobe, wood
6. plazas: earth"
Cliff dwelling	Rock Shelter Residence	-	"natural cave: F
hearth: F
entrance modification: T"	"1. natural cave: rock
2. hearth: stone and/or clay
3. entrance modification: wood or stone"
Cliff dwelling	Rock shelter	-	"overhead rock: F
hearth: F
walls: T"	"1. overhead rock: stone
2. hearth: stone and ash
3. walls: stone"
Climbing harness	Sit harness	-	"waist belt: F
leg loops: F
gear loops: F
belay loop: F
tie-in points: F"	"1. waist belt: nylon or polyester
2. leg loops: nylon or polyester
3. gear loops: plastic and/or nylon
4. belay loop: nylon
5. tie-in points: metal or reinforced nylon"
Climbing harness	Chest harness	-	"shoulder straps: F
chest strap: F
gear loops: T
chest tie-in point: F"	"1. shoulder straps: nylon or polyester
2. chest strap: nylon or polyester
3. gear loops: nylon, polyester, or metal
4. chest tie-in point: metal"
Climbing harness	Full-body climbing harness	-	"waist belt: F
leg loops: F
shoulder straps: F
gear loops: T
belay loop: F
tie-in points: F"	"1. waist belt: nylon webbing, foam
2. leg loops: nylon webbing, foam
3. shoulder straps: nylon webbing, foam
4. gear loops: plastic or nylon webbing
5. belay loop: nylon webbing
6. tie-in points: reinforced nylon webbing"
Clip-on tie	Pre-tied clip-on tie	-	"neckband: F
knot: F
tail: F"	"1. neckband: silk, polyester, and/or cotton
2. knot: silk, polyester, and/or cotton
3. tail: silk, polyester, and/or cotton"
Clipboard	-	-	"board: F
clip: F"	"1. board: wood, plastic, or composite material
2. clip: metal"
Clipper	-	-	"housing: F
blades: F
motor: F
control switch: F
power source: F"	"1. housing: plastic or metal
2. blades: stainless steel
3. motor: electronics and metal
4. control switch: plastics and/or metal
5. power source: electronics, metal, and/or plastics"
Clipping (publications)	-	-	-: F	printed paper
Cloak	-	-	"body: F
fastener: F"	"1. body: cotton, wool, silk, polyester, and/or other synthetic fabrics
2. fastener: metal, plastic, or fabric"
Clock	Analog clock	-	"face: F
hour hand: F
minute hand: F
second hand: T
movement: F
casing: F"	"1. face: paper, plastic, or metal
2. hour hand: metal or plastic
3. minute hand: metal or plastic
4. second hand: metal or plastic
5. movement: electronics and metal
6. casing: metal, plastic, or wood"
Clock	Digital clock	-	"display: F
electronic circuit: F
power source: F
casing: F"	"1. display: LED or LCD and glass
2. electronic circuit: electronics
3. power source: battery
4. casing: plastic or metal"
Clock	Grandfather clock	-	"face: F
hour hand: F
minute hand: F
second hand: T
pendulum: F
weights: F
movement: F
casing: F"	"1. face: metal or painted wood
2. hour hand: metal
3. minute hand: metal
4. second hand: metal
5. pendulum: metal and/or wood
6. weights: metal
7. movement: brass, steel, and other metals
8. casing: wood or metal"
Clock	Cuckoo clock	-	"face: F
hour hand: F
minute hand: F
movement: F
bellows: F
pipes: F
pendulum: F
weights: F
casing: F"	"1. face: wood or plastic
2. hour hand: metal or plastic
3. minute hand: metal or plastic
4. movement: metal and electronics
5. bellows: wood and leather
6. pipes: metal or wood
7. pendulum: metal or wood
8. weights: metal
9. casing: wood"
Clock tower	Turret clock tower	-	"walls: F
roof: F
clock face: F
internal mechanism: F"	"1. walls: stone or brick
2. roof: metal or tile
3. clock face: glass and metal
4. internal mechanism: metal"
Clock tower	Legislative Chamber Clock Tower	-	"walls: F
roof: F
clock face: F
internal mechanism: F
speaker: T"	"1. walls: stone or brick
2. roof: metal or clay tiles
3. clock face: metal and glass
4. internal mechanism: metal and electronics
5. speaker: metal, plastics, and electronics"
