Item	Annotator	Non-physical entity	Subtype (or '-')	Part1 (or '-')	Optional1	Uniform materials	Predicate1	Conjunction1 (or '-')	Proper materials1	Found materials1	Inferred materials1	Part2	Optional2	Predicate2	Conjunction2 (or '-')	Proper materials2	Found materials2	Inferred materials2	Part3	Optional3	Predicate3	Conjunction3 (or '-')	Proper materials3	Found materials3	Inferred materials3	Part4	Optional4	Predicate4	Conjunction4 (or '-')	Proper materials4	Found materials4	Inferred materials4	Part5	Optional5	Predicate5	Conjunction5 (or '-')	Proper materials5	Found materials5	Inferred materials5	Part6	Optional6	Predicate6	Conjunction6 (or '-')	Proper materials6	Found materials6	Inferred materials6	Part7	Optional7	Predicate7	Conjunction7 (or '-')	Proper materials7	Found materials7	Inferred materials7	Part8	Optional8	Predicate8	Conjunction8 (or '-')	Proper materials8	Found materials8	Inferred materials8	Part9	Optional9	Predicate9	Conjunction9 (or '-')	Proper materials9	Found materials9	Inferred materials9	Part10	Optional10	Predicate10	Conjunction10 (or '-')	Proper materials10	Found materials10	Inferred materials10	Part11	Optional11	Predicate11	Conjunction11 (or '-')	Proper materials11	Found materials11	Inferred materials11	Part12	Optional12	Predicate12	Conjunction12 (or '-')	Proper materials12	Found materials12	Inferred materials12	Part13	Optional13	Predicate13	Conjunction13 (or '-')	Proper materials13	Found materials13	Inferred materials13
Air gun	Miles		pnuematic gun	stock			usually made of	or			wood, plastic, metal	grip		usually made of	or			wood, plastic, metal	chamber		usually made of	-			metal	barrel		usually made of	-			metal	trigger		usually made of	-			metal	pump		partially made of	-			metal	lever		usually made of	-			metal																																										
Air gun	Miles		compressed gas gun	stock			usually made of	or			wood, plastic, metal	grip		usually made of	or			wood, plastic, metal	chamber		usually made of	-			metal	barrel		usually made of	-			metal	trigger		usually made of	-			metal	gas cylinder		partially made of	-			metal																																																	
Shovel	Miles		Coal shovel	blade			usually made from	-	metal			* shaft *		usually made from	or	wood, plastic, metal			D-shaped handle		usually made from	or	metal, plastic																																																																								
Shovel	Miles		Snow shovel	scoop			usually made of	or	metal, plastic			shaft		usually made from	or	wood, plastic, metal			short handle		usually made from	or	metal, plastic			D-shaped grip	x	usually made of	or			rubber, foam																																																															
Shovel	Miles		snow sled shovel	blade			usually made from	-	plastic			wide loop handle		usually made from	-	metal																																																																															
Shovel	Miles		grain shovel	blade			made of	or	aluminium, plastic			* shaft *		usually made from	-	hardwood			short handle		usually made from	-	hardwood			D-shaped grip		usually made of	or	wood		rubber, plastic composite																																																															
Shovel	Miles		spoon shovel	oval blade			usually made from	or	metal, plastic			handle		usually made from	or	wood, plastic, metal																																																																															
Shovel	Miles		roofing shovel	teeth			usually made from	-	metal			handle		usually made from	or	wood, plastic, metal			grip		usually made from	or	metal, plastic																																																																								
Shovel	Miles		drain spade	long blade			usually made from	-	metal			handle		usually made from	or	wood, plastic, metal			grip		usually made from	or	metal, plastic																																																																								
Shovel	Miles		Entrenching tool	blade			usually made from	-	metal			handle		usually made from	or	wood, plastic, metal																																																																															
Oil filter	Miles		-	* gasket *			usually made of	-			rubber	* casing *		usually made of	or	metal		plastic	filter		made of	or	magnetic material, cotton, filter paper, metal																																																																								
Mouthguard	Miles		mouth adapted mouthguard	-			usually made of	-	EVA																																																																																						
Mouthguard	Miles		custom-made mouthguard	-			usually made of	-	dental alginate																																																																																						
Mouthguard	Miles		occlusal split	-			typically made of	or	acrylic resin, composite, vinyl (plastic)																																																																																						
Skewer	Miles		-	-			often made from	or	steel, bamboo, wood																																																																																						
Paddle	Miles		-	blade			usually made of	-			plastic	shaft		made of	or	wood, fibreglass, carbon fibre, metal			handle		usually made of	-			plastic																																																																						
Oil burner	Miles		-	* casing *			usually made of	-			metal	* internal mechanism *		partially made of	-			metal	fan		usually made of	-			metal																																																																						
Helicopter	Miles		-	rotor		x	usually made of	-		metal		* body *							* windows *		usually made of	and			plastic, glass	landing gear							* internal mechanism *		* entity *					seats		usually made of	or		metal	fabric, leather	engine		partially made of																																														
Highlighter	Miles		-	tip			made of	-	felt			* case *		usually made of	-			plastic	* cap *		usually made of	-			plastic																																																																						
Kilt	Miles		-	-			made of	-	wool																																																																																						
Panties	Miles		adhesive panties	adhesive			is made of	-			adhesive material	crotch panel		usually made of	-	cotton																																																																															
Panties	Miles		traditional panties	waistband			often made of	or	elastomer, string			crotch panel		usually made of	or	cotton, lace, latex, leather, lycra, mesh, nylon, PVC, polyester, rawhide, satin, silk			leg openings		often made of	or	elastomer, string																																																																								
Beaker (archaeology)	Miles		-	-			made of	or	ceramic, metal																																																																																						
Hot water bottle	Miles		-	bottle			made of	or	rubber, silicone, PVC			stopper		usually made of	-	plastic																																																																															
Automatic rifle	Miles		-	trigger		x	usually made of	-			metal	stock		usually made of	or			metal, wood, plastic	grip		usually made of	or			metal, wood, plastic	receiver							* muzzle *							magazine							barrel																																																
Cassette deck	Miles		-	* casing *			usually made of	or	metal		plastic	* display *		usually made of	or			plastic, glass	buttons		usually made of	or	metal		plastic	* internal mechanism *		partially made of	-	metal			speaker		usually made of	or	metal		plastic	* slot *		usually made of	-			plastic																																																	
Coffee cup	Miles		-	cup			usually made of	or	porcelain, ceramic, paper, bamboo, polysterene			handle	x	usually made of	or	porcelain, ceramic, bamboo, polysterene																																																																															
Headstone	Miles		-	-			usually made of	-	stone																																																																																						
Wreath (attire)	Miles		-	-			made from	-	plants																																																																																						
Square academic cap	Miles		-	board			usually made of	or			cardboard, foam	* tassle *		usually made of	or		silk	polyester	cap		usually made of	or		silk	cotton, broadcloth, rayon, polyester																																																																						
High-heeled shoe	Miles		conventional high-heeled shoes	* vamp *		x	usually made of	or	leather, suede, plastic		animal hide	toe box							* counter *							upper							heel		usually made of	or			plastic, wood, metal	* outsole *		usually made of	and/or			rubber, leather																																																	
High-heeled shoe	Miles		stacked heels	* vamp *		x	usually made of	or	leather, suede, plastic		animal hide	toe box							* counter *							upper							heel block		usually made of	or	layers of leather		layers of wood	* outsole *		usually made of	and/or			rubber, leather																																																	
High-heeled shoe	Miles		wedge heels	* vamp *		x	usually made of	or	leather, suede, plastic		animal hide	toe box							* counter *							upper							wedge		usually made of	or			wood, cork, jute, rubber	* outsole *		usually made of	and/or			rubber, leather																																																	
Reaper	Miles		-	wheel frame			usually made of	or			metal, wood	platform		usually made of	or			metal, wood	reciprocating knife		usually made of	-			metal	divider		usually made of	or			metal, wood	reel		usually made of	or			metal, wood																																																								
Windscreen wiper	Miles		electric wiper	electric motor			partially made of	-	metal			arm		made of	-	metal			blade		made of	and/or	natural rubber, EPDM rubber			4-bar linkage		usually made of	or	metal	plastic																																																																
Windscreen wiper	Miles		pneumatic wiper	* air valve *			partially made of	-	metal			arm		made of	-	metal			blade		made of	and/or	natural rubber, EPDM rubber																																																																								
Windscreen wiper	Miles		hydraulic wiper	hydraulic pump			partially made of	-	metal			arm		made of	-	metal			blade		made of	and/or	natural rubber, EPDM rubber																																																																								
Ship's wheel	Miles		-	felloes		x	made of	-	wood			spokes							handles							axle							pedestal							barrel																																																							
Church bell	Miles		-	* waist *		x	made from	-	metal			crown							head							shoulder							sound ring							lip							mouth							clapper							bead line							yoke			made from			wood																					
Hamper	Miles		charitable hamper	body		x	made of	or	woven wicker, plastic, acrylic fibre			lining	x	made of	-	cloth																																																																															
Hamper	Miles		christmas hamper	-			made of	or	woven wicker		cardboard box																																																																																				
Hamper	Miles		commercial hamper	-			made of	-	woven wicker																																																																																						
Hamper	Miles		Picnic basket	body			made of	-	woven wicker			securing straps	x	usually made from	or			leather, canvas, synthetic fabrics, elastic bands, velcro																																																																													
Barrel	Hannah		-	staves		x	made of	-	wood			hoops		usually made of	-	galvanized iron			head																																																																												
Scraper (kitchen)	Hannah		bowl scraper	-			made of	or	plastic, silicone rubber																																																																																						
Scraper (kitchen)	Hannah		dough scraper	blade			made of	-	stainless steel			handle		made of	or	wood, plastic, metal																																																																															
Scraper (kitchen)	Hannah		grill grate scraper	notched blade			usually made of	or	wood, metal			handle		usually made of	or	wood, metal, plastic			* brush *	x	usually made of	or	metal, nylon																																																																								
Scraper (kitchen)	Hannah		plate scraper	head			made of	-	rubber			handle		made of	or	plastic, wood, metal																																																																															
Scraper (kitchen)	Hannah		pan scraper	blade			usually made of	-	metal			handle		usually made of	or	metal, wood, plastic																																																																															
Scraper (kitchen)	Hannah		shellfish scraper	flattened tip		x	made of	-	stainless steel			forked tip							rod																																																																												
Scraper (kitchen)	Hannah		crumb scraper	-			often made of	-	metal																																																																																						
Violin	Hannah		acoustic violin	body		x	usually made from	-	wood			strings		made of	and/or	gut, steel, synthetic materials			neck							fingerboard							scroll							tuning pegs							bridge							tailpiece		made of	and	wood, metal		composite materials	fine tuners	x	usually made of	-	metal			chinrest		made of	or	wood	plastic																						
Violin	Hannah		Electric violin	body			is made of	and/or	wood, kevlar, glass, carbon fibres			strings		usually made of	or	steel, synthetic materials			neck		usually made of	or	wood, carbon fiber			fingerboard		usually made of	or	wood, carbon fiber			scroll	x	usually made of	or	wood, carbon fiber	plastic		tuning pegs		usually made of	or	wood, metal	plastic		bridge		usually made of	and/or	wood, carbon fiber, metal	plastic		tailpiece	x	usually made of	and/or	wood, carbon fiber, metal	plastic		fine tuners	x	usually made of	-	metal			chinrest		made of	or	wood	plastic		* sound control knobs *		usually made of	or	metal	plastic		pickup		* entity *					* internal mechanism *		* entity *				
Umbrella	Hannah		hand-held umbrella	ribs			usually made of	or	wood, metal		fiberglass	pole		made of	or	wood, metal, plastic			handle		usually made of	or	plastic, wood			stretchers		usually made of	or	metal, plastic		fibergalss	springs		usually made of	-	steel			canopy		usually made of	or	nylon		PVC, polyester, pongee fabric	ferrule	x	usually made of	or	wood, metal, plastic			open cap		usually made of	or	wood, metal, plastic		fiberglass	runner		usually made of	or	metal, plastic		fiberglass	push button	x	usually made of	or	plastic, metal																							
Umbrella	Hannah		patio umbrella	ribs			usually made of	or	wood, metal		fiberglass	pole		made of	or	wood, metal, plastic			* base *		usually made of	or	steel		concrete, cast iron	stretchers		usually made of	or	wood, metal		fiberglass	* pulley or crank *		* entity *					canopy		usually made of	or			polyester, canvas, acrylic fabric																																																	
Spoon	Hannah		-	bowl			made from	or	metal, wood, porcelain, plastic			handle		usually made from	and/or	metal, wood, porcelain, plastic		silicone, rubber, plastic																																																																													
Pencil	Hannah		graphite pencil	graphite core			usually made of	and	graphite powder, clay			casing		usually made of	-	wood			eraser	x	usually made of	or	rubber		vinyl	ferrule	x	made of	-	metal																																																																	
Pencil	Hannah		Grease pencil	grease core			usually made from	-	non-toxic opaque wax			outer casing		usually made of	or	wood, paper																																																																															
Pencil	Hannah		charcoal pencil	charcoal core			made of	-	charcoal			casing		usually made of	-	wood																																																																															
Pencil	Hannah		Colored pencil																																																																																												
Colored pencil	Hannah		permanent colored pencil	pigmented core			usually made of	or	wax, oil, water-soluble materials			case		made of	-	wood																																																																															
Colored pencil	Hannah		erasable colored pencil	pigmented core			usually made of	-	wax			case		made of	-	wood			eraser	x	usually made of	or	rubber		vinyl	ferrule	x	made of	-	metal																																																																	
Pencil	Hannah		Mechanical pencil	eraser cap	x		usually made of	or	metal	plastic		eraser	x	usually made of	or	rubber		vinyl	clip	x	usually made of	or	metal	plastic		outer casing		usually made of	or	metal	plastic	carbon fiber	grip	x	usually made of	or	rubber, metal		silicone	nose cone		usually made of	or	metal	plastic		lead sleeve	x	usually made of	-	metal			shaft		usually made of	or	metal	plastic		* internal mechanism *		* entity *																																
Pencil	Hannah		pop-a-point pencil	clip	x	x	usually made of	-		plastic		outer casing							cartridges							pencil lead		usually made of	and	graphite powder, clay			cap																																																														
Claw hammer	Hannah		two-piece claw hammer	face		x	made from	-	forged steel			curved claw							handle		usually made of	or	wood, glass fiber																																																																								
Claw hammer	Hannah		single-piece claw hammer	face		x	made from	-	forged heat-treated steel			curved claw							handle							grip		made of	-	synthetic polymers, leather																																																																	
Claw hammer	Hannah		framing hammer	checkered face		x	usually made of	-	steel			straight claw							long handle		usually made of	or	wood, steel, fiberglass			grip	x	made of	-	synthetic polymers, leather																																																																	
Toy balloon	Hannah		latex balloon	-			usually made of	-	rubber																																																																																						
Toy balloon	Hannah		foil balloon	-			usually made of	-	aluminized plastic																																																																																						
Flowerpot	Hannah		traditional flowerpot	-			made from	or	terracotta, plastic, metal, wood, stone, biodegradable material	ceramic																																																																																					
Flowerpot	Hannah		self-watering flowerpot	planter			made from	or	terracotta, plastic			wick		made of	or			cotton, nylon, polyester	reservoir		usually made of 	-	plastic																																																																								
Triangle (musical instrument)	Hannah		-	* frame *			made from	or	aluminium, beryllium copper, brass, bronze, iron, steel			beater		made of	-	metal			* beater grip *	x	usually made of 	or	plastic, wood		rubber	suspension loop		usually made of	or	nylon, metal		rubber																																																															
Hammock	Hannah		-	bed			made from	or	nylon, polyester, cotton			suspension ropes or straps		made from	or	nylon, polyester			spreader bar	x	usually made of 	-	wood			stand	x	made of	or	metal, wood			mosquito netting	x	usually made from	or	nylon, polyester			pockets	x	usually made from	or	nylon, polyester																																																			
Clip-on tie	Hannah		adjustable strap tie	bow or pre-tied tie			usually made from	and/or			silk, polyester, cotton, wool	hook and eye closure	x	usually made of	or	metal		plastic	neckband		usually made of 	and/or			polyester, elastic	adjustable slider		usually made of	or	metal		plastic																																																															
Clip-on tie	Hannah		single-clip tie	bow or pre-tied tie			usually made from	and/or			silk, polyester, cotton, wool	clip		made of	-	metal																																																																															
